,Specs,Price
102, - Intel Core i5  - 1.60GHZ - 256GB SSD - 8GB  - 14.0 - Windows 10 Pro,"195,000 - PKR
		            	193,999 - PKR"
103, - Intel Core i7 9th Generation - 2.6GHz - 1TB - 8GB - 15.6 - Windows 10 Home,"194,999 - PKR"
104, - Core i7 - 1.9 GHz - 16GB - 14 INCHES - DOS,"197,000 - PKR"
105," - Intel Core i7 8th Generation - 2.2 GHz - 1TB - 8GB - 15.6"" - Windows 10 Home Plus","200,000 - PKR
		            	197,999 - PKR"
106, - Intel Core i5 8th Generation - 1.6 GHz  - Screen 13.3 - Windows 10 Home Single Language 64,"206,000 - PKR
		            	200,000 - PKR"
107, - Intel Core i5 8th Generation - 2.3GHz - 8GB - 13.3 - Apple macOS 10.13 High Sierra,"204,999 - PKR"
108," - Intel Core i7 9th Generation - 2.6GHz - 8GB - 15.6"" - Genuine Windows 10 Home","204,999 - PKR"
109, - Intel Core i7 8th Generation -  1.8 GHz - 16GB - 13.3 - Windows 10 Home Single Language 64,"205,000 - PKR"
110, - Intel Core i7 8th Generation -  1.8 GHz - 16GB - 13.3 - Windows 10 Home Single Language 64,"205,000 - PKR"
111," - Intel Core i7 9th Generation - 2.6GHz - 1TB - 12GB - 15.6"" - Genuine Windows 10 Home","214,999 - PKR"
112," - Intel Core i7 9th Generation - 2.6GHz - 1TB - 16GB - 15.6"" - Genuine Windows 10 Home","214,999 - PKR"
113, - Intel Core i7 8th Generation - 1.8 GHz - 16GB RAM - 13.3 diagonal FHD IPS BrightView micro-edge WLED-backlit multitouch-enabled edge-to-edge glass with Corning Gorill,"216,000 - PKR"
114, - Intel Core i7  - 4.5 GHz - 1 TB  SATA  - 8 GB RAM DDR4 - 15.6 - Windows 10 Home ,"217,000 - PKR
		            	216,000 - PKR"
115, - Intel Core i5 10th Generation - 8GB - 13.5? - Windows 10 Home,"219,999 - PKR"
116, - Core i7 - 1.8 GHz Turbo Boost 4.9 GHz - 512 GB - 16 GB - 15.6 - Genuine Windows 10 Home,"220,000 - PKR"
117, - Intel Core i7 10th Generation - 1.3 GHz - 8GB - 13.3 - Windows 10 Home,"224,999 - PKR"
118, - Core i7 - 2.60GHz - 1 TB - 8GB - 15.6 - DOS,"224,999 - PKR"
119, - Intel Core i5  - 1.60GHZ - 512GB SSD - 8GB  - Windows 10 ,"228,000 - PKR
		            	224,999 - PKR"
